name,location,vendor_categories,review,average_rating,count,image_count,reply_count,lat,lng,full_address,sido,gu,dong
명품임실치즈피자-구로본점,"{'lat': '37.480235810770786', 'lng': '126.89674830865826'}","['피자/양식', '야식', '치킨', '포장']","{'average_rating': 4.8, 'count': 6058, 'image_count': 4278, 'reply_count': 3073}",4.8,6058.0,4278.0,3073.0,37.48023581077079,126.89674830865826,서울특별시 구로구 디지털로32가길 82,서울,구로구,구로동
온육집-신림봉천점,"{'lat': '37.4863965', 'lng': '126.93919208'}","['한식', '고기/구이', '포장', '프랜차이즈', '도시락/죽']","{'average_rating': 5.0, 'count': 603, 'image_count': 593, 'reply_count': 462}",5.0,603.0,593.0,462.0,37.4863965,126.93919208,서울 관악구 봉천동 952-11,서울,관악구,봉천동
우수갈비찜-관악점,"{'lat': '37.4814092', 'lng': '126.94310598'}","['찜/탕', '한식', '고기/구이', '포장']","{'average_rating': 5.0, 'count': 7, 'image_count': 4, 'reply_count': 6}",5.0,7.0,4.0,6.0,37.4814092,126.94310598,서울특별시 관악구 장군봉1길 56,서울,관악구,봉천동
씽씽닭꼬치-신대방역점,"{'lat': '37.4850889', 'lng': '126.91486257'}","['아시안', '고기/구이', '일식/돈까스', '야식', '포장', '프랜차이즈']","{'average_rating': 4.8, 'count': 80, 'image_count': 63, 'reply_count': 27}",4.8,80.0,63.0,27.0,37.4850889,126.91486257,서울특별시 관악구 조원로 113,서울,관악구,신림동
유캔스시,"{'lat': '37.483488', 'lng': '126.94499525'}","['일식/돈까스', '회/초밥', '포장', '신규맛집']","{'average_rating': 5.0, 'count': 10, 'image_count': 7, 'reply_count': 10}",5.0,10.0,7.0,10.0,37.483488,126.94499525,서울특별시 관악구 봉천로35길 9,서울,관악구,봉천동
후라이드의신-본점,"{'lat': '37.4791757', 'lng': '126.92581883'}","['치킨', '포장', '야식', '신규맛집']","{'average_rating': 5.0, 'count': 30, 'image_count': 33, 'reply_count': 21}",5.0,30.0,33.0,21.0,37.4791757,126.92581883,서울특별시 관악구 문성로 199,서울,관악구,신림동
데일리프룻-상도점,"{'lat': '37.4975322', 'lng': '126.94187446'}","['샐러드', '카페/디저트', '도시락/죽', '포장', '프랜차이즈']","{'average_rating': 4.9, 'count': 90, 'image_count': 85, 'reply_count': 90}",4.9,90.0,85.0,90.0,37.4975322,126.94187446,서울특별시 동작구 양녕로25길 38,서울,동작구,상도동
히어로카츠&소바,"{'lat': '37.489193', 'lng': '126.93024395'}","['한식', '분식', '일식/돈까스', '포장']","{'average_rating': 4.7, 'count': 66, 'image_count': 63, 'reply_count': 19}",4.7,66.0,63.0,19.0,37.489193,126.93024395,서울특별시 관악구 봉천로13길 9,서울,관악구,봉천동
김치찜에진심,"{'lat': '37.486522', 'lng': '126.93512609'}","['찜/탕', '한식', '야식', '포장']","{'average_rating': 5.0, 'count': 3201, 'image_count': 2639, 'reply_count': 2699}",5.0,3201.0,2639.0,2699.0,37.486522,126.93512609,서울특별시 관악구 봉천로 309,서울,관악구,봉천동
리프버거서울1호-신림역점,"{'lat': '37.4869763', 'lng': '126.92933423'}","['샐러드', '버거', '치킨', '포장', '야식']","{'average_rating': 5.0, 'count': 14, 'image_count': 15, 'reply_count': 14}",5.0,14.0,15.0,14.0,37.4869763,126.92933423,서울특별시 관악구 신림로 366,서울,관악구,신림동
노랑통닭-신림점,"{'lat': '37.4791586', 'lng': '126.93263536'}","['프랜차이즈', '치킨', '포장']","{'average_rating': 4.8, 'count': 282, 'image_count': 233, 'reply_count': 34}",4.8,282.0,233.0,34.0,37.4791586,126.93263536,서울특별시 관악구 신림로48길 11,서울,관악구,신림동
강제로시작한떡볶이-신림점,"{'lat': '37.4856107', 'lng': '126.93201682'}","['분식', '프랜차이즈', '야식', '포장', '한식', '치킨']","{'average_rating': 4.9, 'count': 327, 'image_count': 291, 'reply_count': 289}",4.9,327.0,291.0,289.0,37.4856107,126.93201682,서울특별시 관악구 신림로66길 42,서울,관악구,신림동
컵밥왔숑-관악본점,"{'lat': '37.4862893', 'lng': '126.94041528'}","['한식', '고기/구이', '도시락/죽', '포장', '1인분주문']","{'average_rating': 4.7, 'count': 78, 'image_count': 70, 'reply_count': 40}",4.7,78.0,70.0,40.0,37.4862893,126.94041528,서울특별시 관악구 은천로 45-1,서울,관악구,봉천동
오늘은오므라이스-신림봉천점,"{'lat': '37.4864412', 'lng': '126.93635188'}","['한식', '분식', '도시락/죽', '포장', '야식', '프랜차이즈', '1인분주문']","{'average_rating': 4.9, 'count': 412, 'image_count': 304, 'reply_count': 282}",4.9,412.0,304.0,282.0,37.4864412,126.93635188,서울 관악구 봉천동 955-8,서울,관악구,봉천동
피나치공-관악구청점,"{'lat': '37.48314178157474', 'lng': '126.94785258631251'}","['피자/양식', '프랜차이즈', '치킨', '포장']","{'average_rating': 4.9, 'count': 2732, 'image_count': 2735, 'reply_count': 2724}",4.9,2732.0,2735.0,2724.0,37.48314178157474,126.94785258631252,서울특별시 관악구 봉천로41길 7,서울,관악구,봉천동
디저트39-보라매점,"{'lat': '37.491154455477', 'lng': '126.926025392351'}","['카페/디저트', '프랜차이즈', '포장']","{'average_rating': 5.0, 'count': 185, 'image_count': 150, 'reply_count': 179}",5.0,185.0,150.0,179.0,37.491154455477,126.926025392351,서울특별시 관악구 봉천로7길 41,서울,관악구,봉천동
상상오리&삼겹-봉천점,"{'lat': '37.4837229', 'lng': '126.9439876'}","['고기/구이', '족발/보쌈', '야식', '포장', '한식', '프랜차이즈']","{'average_rating': 5.0, 'count': 1212, 'image_count': 1002, 'reply_count': 274}",5.0,1212.0,1002.0,274.0,37.4837229,126.9439876,서울특별시 관악구 양녕로1길 46,서울,관악구,봉천동
배고픈덮밥이-본점,"{'lat': '37.4812235', 'lng': '126.92988087'}","['한식', '일식/돈까스', '도시락/죽', '포장', '야식', '프랜차이즈', '1인분주문']","{'average_rating': 5.0, 'count': 224, 'image_count': 168, 'reply_count': 0}",5.0,224.0,168.0,0.0,37.4812235,126.92988087,서울특별시 관악구 신림로 299,서울,관악구,신림동
