name,location,vendor_categories,review,average_rating,count,image_count,reply_count,lat,lng
고깃집얼큰된장찌개-금천점,"{'lat': '37.4766142', 'lng': '126.90294283'}","['찜/탕', '한식', '고기/구이', '야식', '포장', '프랜차이즈']","{'average_rating': 4.8, 'count': 25, 'image_count': 24, 'reply_count': 16}",4.8,25.0,24.0,16.0,37.4766142,126.90294283
마마브런치,"{'lat': '37.480599', 'lng': '126.88931371'}","['피자/양식', '카페/디저트', '포장']","{'average_rating': 4.7, 'count': 188, 'image_count': 164, 'reply_count': 45}",4.7,188.0,164.0,45.0,37.480599,126.88931371
BBQ-관악조원점,"{'lat': '37.48253164480191', 'lng': '126.91086157900722'}","['프랜차이즈', '치킨', '포장']","{'average_rating': 4.6, 'count': 111, 'image_count': 70, 'reply_count': 0}",4.6,111.0,70.0,0.0,37.48253164480191,126.91086157900722
인생냉면-구로점,"{'lat': '37.4981634', 'lng': '126.88609103'}","['한식', '프랜차이즈', '야식', '포장']","{'average_rating': 4.7, 'count': 78, 'image_count': 60, 'reply_count': 34}",4.7,78.0,60.0,34.0,37.4981634,126.88609103
굽네치킨&피자-독산점,"{'lat': '37.4685047', 'lng': '126.90375214'}","['피자/양식', '프랜차이즈', '치킨', '포장', '신규맛집']","{'average_rating': 5.0, 'count': 1, 'image_count': 0, 'reply_count': 0}",5.0,1.0,0.0,0.0,37.4685047,126.90375214
만천,"{'lat': '37.5065503', 'lng': '126.91451497'}","['중국집', '야식', '아시안']","{'average_rating': 1.0, 'count': 1, 'image_count': 2, 'reply_count': 0}",1.0,1.0,2.0,0.0,37.5065503,126.91451497
무휼-영등포점,"{'lat': '37.5061655', 'lng': '126.8997853'}","['카페/디저트', '야식', '포장', '프랜차이즈']","{'average_rating': 4.9, 'count': 8, 'image_count': 8, 'reply_count': 6}",4.9,8.0,8.0,6.0,37.5061655,126.8997853
치떠끼-신대방점,"{'lat': '37.4979282584664', 'lng': '126.928479489037'}","['분식', '프랜차이즈', '야식']","{'average_rating': 4.8, 'count': 6, 'image_count': 10, 'reply_count': 5}",4.8,6.0,10.0,5.0,37.4979282584664,126.928479489037
THE더가득담은김치찜-금천점,"{'lat': '37.4585232', 'lng': '126.89940598'}","['찜/탕', '한식', '도시락/죽', '포장', '프랜차이즈', '야식']","{'average_rating': 4.7, 'count': 14, 'image_count': 10, 'reply_count': 0}",4.7,14.0,10.0,0.0,37.4585232,126.89940598
배고픈덮밥이-금천점,"{'lat': '37.4585232', 'lng': '126.89940598'}","['한식', '포장', '프랜차이즈', '야식', '1인분주문']","{'average_rating': 4.3, 'count': 16, 'image_count': 8, 'reply_count': 0}",4.3,16.0,8.0,0.0,37.4585232,126.89940598
호세야오리바베큐-구로점,"{'lat': '37.4883896', 'lng': '126.88498831'}","['고기/구이', '족발/보쌈', '프랜차이즈', '도시락/죽', '신규맛집']","{'average_rating': 0.0, 'count': 0, 'image_count': 0, 'reply_count': 0}",0.0,0.0,0.0,0.0,37.4883896,126.88498831
숙성고기육칠이-영등포점,"{'lat': '37.5233871', 'lng': '126.90561826'}","['한식', '고기/구이', '도시락/죽', '포장', '프랜차이즈', '야식']","{'average_rating': 5.0, 'count': 46, 'image_count': 28, 'reply_count': 0}",5.0,46.0,28.0,0.0,37.5233871,126.90561826
꼬기랑밥이랑면이랑,"{'lat': '37.4962395289631', 'lng': '126.907326846023'}","['피자/양식', '한식', '야식', '포장']","{'average_rating': 4.5, 'count': 864, 'image_count': 308, 'reply_count': 232}",4.5,864.0,308.0,232.0,37.4962395289631,126.907326846023
고기야,"{'lat': '37.5054351', 'lng': '126.9100084'}","['야식', '회/초밥', '포장', '일식/돈까스']","{'average_rating': 5.0, 'count': 121, 'image_count': 125, 'reply_count': 12}",5.0,121.0,125.0,12.0,37.5054351,126.9100084
오구피자-대방역점,"{'lat': '37.5095219', 'lng': '126.92439341'}","['피자/양식', '포장', '프랜차이즈']","{'average_rating': 4.8, 'count': 60, 'image_count': 53, 'reply_count': 2}",4.8,60.0,53.0,2.0,37.5095219,126.92439341
1991닭볶음탕-본점,"{'lat': '37.4658741', 'lng': '126.90285226'}","['찜/탕', '한식', '야식']","{'average_rating': 5.0, 'count': 109, 'image_count': 89, 'reply_count': 107}",5.0,109.0,89.0,107.0,37.4658741,126.90285226
가마치통닭-대림역점,"{'lat': '37.4910558', 'lng': '126.89430021'}","['고기/구이', '치킨', '포장', '프랜차이즈']","{'average_rating': 4.7, 'count': 42, 'image_count': 31, 'reply_count': 37}",4.7,42.0,31.0,37.0,37.4910558,126.89430021
에그폭탄덮밥-구로점,"{'lat': '37.4981634', 'lng': '126.88609103'}","['한식', '프랜차이즈', '야식', '포장']","{'average_rating': 4.9, 'count': 188, 'image_count': 135, 'reply_count': 105}",4.9,188.0,135.0,105.0,37.4981634,126.88609103
백억커피-구로구청점,"{'lat': '37.4935451', 'lng': '126.88309501'}","['카페/디저트', '포장', '프랜차이즈', '야식']","{'average_rating': 4.9, 'count': 284, 'image_count': 191, 'reply_count': 149}",4.9,284.0,191.0,149.0,37.4935451,126.88309501
맘스터치-신길대신점,"{'lat': '37.512201', 'lng': '126.91650241'}","['포장', '버거', '프랜차이즈', '치킨']","{'average_rating': 4.9, 'count': 32, 'image_count': 24, 'reply_count': 8}",4.9,32.0,24.0,8.0,37.512201,126.91650241
1인짜글이끝판왕-독산점,"{'lat': '37.4635252', 'lng': '126.90109834'}","['찜/탕', '한식', '포장', '프랜차이즈', '1인분주문']","{'average_rating': 5.0, 'count': 7, 'image_count': 6, 'reply_count': 0}",5.0,7.0,6.0,0.0,37.4635252,126.90109834
맹호돈까스-영등포점,"{'lat': '37.5105924', 'lng': '126.8983379'}","['한식', '분식', '일식/돈까스', '포장']","{'average_rating': 4.0, 'count': 4, 'image_count': 3, 'reply_count': 3}",4.0,4.0,3.0,3.0,37.5105924,126.8983379
자담치킨-서울가산점,"{'lat': '37.4721517', 'lng': '126.89192793'}","['포장', '프랜차이즈', '치킨']","{'average_rating': 4.9, 'count': 35, 'image_count': 28, 'reply_count': 0}",4.9,35.0,28.0,0.0,37.4721517,126.89192793
피자이탈리-금천점,"{'lat': '37.4624809', 'lng': '126.89851798'}","['피자/양식', '포장', '치킨', '야식', '프랜차이즈', '고기/구이']","{'average_rating': 4.9, 'count': 2468, 'image_count': 2326, 'reply_count': 2444}",4.9,2468.0,2326.0,2444.0,37.4624809,126.89851798
바른국밥-구로점,"{'lat': '37.4942475', 'lng': '126.88816863'}","['한식', '프랜차이즈', '1인분주문', '포장']","{'average_rating': 4.7, 'count': 3, 'image_count': 2, 'reply_count': 0}",4.7,3.0,2.0,0.0,37.4942475,126.88816863
취향마라,"{'lat': '37.4960795319874', 'lng': '126.891564262119'}","['피자/양식', '중국집', '한식', '아시안']","{'average_rating': 4.7, 'count': 7, 'image_count': 6, 'reply_count': 6}",4.7,7.0,6.0,6.0,37.4960795319874,126.891564262119
